,OBJECTID,VENUEID,NAME,ADDRESS,CITY,STATE,ZIP,ZIP4,TYPE,STATUS,POPULATION,COUNTY,COUNTYFIPS,COUNTRY,LATITUDE,LONGITUDE,NAICS_CODE,NAICS_DESC,SOURCE,SOURCEDATE,VAL_DATE,NAME2,geometry
0,1,1.0,MILWAUKEE MILE,640 SOUTH 84TH STREET,WEST ALLIS,WI,53214,NOT AVAILABLE,SINGLE USE,OPEN,45000.0,MILWAUKEE,55079,USA,43.020179936000034,-88.01062992999994,711212,RACETRACKS,http://wistatefair.com/wsfp/2018/01/22/milwaukee-mile-speedway/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9797298.5082 5315043.943599999)
1,2,16.0,STREETS OF ST. PETERSBURG,BAYSHORE DRIVE SE,SAINT PETERSBURG,FL,33701,NOT AVAILABLE,SINGLE USE,OPEN,-999.0,PINELLAS,12103,USA,27.765489925000054,-82.62992000999998,711212,RACETRACKS,http://www.gpstpete.com/,2015-01-30,2018-08-13,GRAND PRIX OF ST. PETERSBURG,POINT (-9198320.6198 3219439.4778000005)
2,3,17.0,STREETS OF LONG BEACH,300 EAST OCEAN BOULEVARD,LONG BEACH,CA,90802,NOT AVAILABLE,SINGLE USE,OPEN,-999.0,LOS ANGELES,06037,USA,33.763232394000056,-118.19262458299994,711212,RACETRACKS,http://www.gplb.com/,2015-01-30,2018-08-13,GRAND PRIX OF LONG BEACH,POINT (-13157142.7841 3997054.0565000027)
3,4,18.0,BARBER MOTORSPORTS PARK,6040 BARBER MOTORSPORTS PKY,BIRMINGHAM,AL,35094,NOT AVAILABLE,SINGLE USE,OPEN,-999.0,JEFFERSON,01073,USA,33.53200000000004,-86.61899999999997,711212,RACETRACKS,https://barberracingevents.com/,2015-01-30,2018-08-13,GRAND PRIX OF ALABAMA,POINT (-9642382.973 3966132.843699999)
4,5,20.0,STREETS OF TORONTO,100 PRINCES' BOULEVARD,TORONTO,ON,M6K 3C3,NOT AVAILABLE,SINGLE USE,OPEN,-999.0,TORONTO,3520005,CAN,43.63333000000006,-79.41582999999997,711212,RACETRACKS,http://hondaindy.com/,2015-01-30,2018-08-13,INDY TORONTO,POINT (-8840529.7565 5408873.3895)
5,6,22.0,MID-OHIO SPORTS CAR COURSE,7721 STEAM CORNERS ROAD,LEXINGTON,OH,44904,NOT AVAILABLE,MULTIUSE,OPEN,10000.0,MORROW,39117,USA,40.68796722800005,-82.63948986999998,711212,RACETRACKS,http://midohio.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9199385.9317 4966425.276100002)
6,7,24.0,BELLE ISLE,STRAND DR.,DETROIT,MI,48207,NOT AVAILABLE,SINGLE USE,OPEN,-999.0,WAYNE,26163,USA,42.33722393600004,-82.99788281799994,711212,RACETRACKS,http://detroitgp.com/,2015-01-30,2018-08-13,DETROIT BELLE ISLE GRAND PRIX,POINT (-9239282.0522 5211628.572899997)
7,9,27.0,BELMONT PARK RACE TRACK,2150 HEMPSTEAD TURNPIKE,ELMONT,NY,11003,1551,SINGLE USE,OPEN,32941.0,NASSAU,36059,USA,40.714469948000044,-73.72347999199997,711212,RACETRACKS,http://www.nyra.com/belmont/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8206860.2522 4970316.8336)
8,10,28.0,CHURCHILL DOWNS,700 CENTRAL AVENUE,LOUISVILLE,KY,40208,1200,SINGLE USE,OPEN,51000.0,JEFFERSON,21111,USA,38.20224008100007,-85.77063004399997,711212,RACETRACKS,http://www.churchilldowns.com,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9547942.8615 4608035.079700001)
9,11,29.0,DEL MAR,2260 JIMMY DURANTE BOULEVARD,DEL MAR,CA,92014,NOT AVAILABLE,SINGLE USE,OPEN,14304.0,SAN DIEGO,06073,USA,32.976940042000024,-117.26324994499998,711212,RACETRACKS,https://www.dmtc.com,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-13053685.272599999 3892243.539499998)
10,12,30.0,GOLDEN GATE FIELDS,1100 EASTSHORE HIGHWAY,ALBANY,CA,94710,1007,SINGLE USE,OPEN,14750.0,ALAMEDA,06001,USA,37.88517064100006,-122.31113455499997,711212,RACETRACKS,http://www.goldengatefields.com,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-13615613.217 4563216.951499999)
11,13,32.0,MEADOWLANDS RACETRACK,50 STATE ROUTE 120,EAST RUTHERFORD,NJ,07073,NOT AVAILABLE,SINGLE USE,OPEN,2200.0,BERGEN,34003,USA,40.81849345000006,-74.07321833599997,711212,RACETRACKS,http://www.thebigm.com,2015-01-30,2018-08-13,THE BIG M,POINT (-8245792.946599999 4985606.239600003)
12,14,33.0,PIMLICO RACE COURSE,5201 PARK HEIGHTS AVENUE,BALTIMORE,MD,21215,NOT AVAILABLE,SINGLE USE,OPEN,14852.0,BALTIMORE (CITY),24510,USA,39.353479965000076,-76.67324003499994,711212,RACETRACKS,http://www.pimlico.com/visitors/track-overview,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8535226.0382 4772431.768600002)
13,15,34.0,SANTA ANITA PARK,285 WEST HUNTINGTON DRIVE,ARCADIA,CA,91007,NOT AVAILABLE,SINGLE USE,OPEN,26000.0,LOS ANGELES,06037,USA,34.14098999000004,-118.04442995699998,711212,RACETRACKS,http://www.santaanita.com,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-13140645.8338 4047749.2848000005)
14,16,35.0,SARATOGA RACE COURSE,267 UNION AVENUE,SARATOGA SPRINGS,NY,12866,NOT AVAILABLE,SINGLE USE,OPEN,18000.0,SARATOGA,36091,USA,43.07161000000008,-73.76849999999996,711212,RACETRACKS,https://www.saratogaracetrack.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8211871.8566 5322877.978699997)
15,17,38.0,KEENELAND,4201 VERSAILLES ROAD,LEXINGTON,KY,40588,NOT AVAILABLE,SINGLE USE,OPEN,7000.0,FAYETTE,48149,USA,38.04648799000006,-84.60892606999994,711212,RACETRACKS,http://www.keeneland.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9418622.5667 4585995.0898)
16,18,39.0,LAUREL PARK,ROUTE 198 AND RACETRACK ROAD,LAUREL,MD,20724,NOT AVAILABLE,SINGLE USE,OPEN,4180.0,ANNE ARUNDEL,24003,USA,39.10388900000004,-76.83083299999998,711212,RACETRACKS,http://www.laurelpark.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8552769.2068 4736563.724399999)
17,19,41.0,ARLINGTON PARK,2200 WEST EUCLID AVE,ARLINGTON HEIGHTS,IL,60005,NOT AVAILABLE,SINGLE USE,OPEN,14000.0,COOK,27031,USA,42.091000000000065,-88.01021999999995,711212,RACETRACKS,http://www.arlingtonpark.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9797252.875 5174620.564599998)
18,20,42.0,LONE STAR PARK,1000 LONE STAR PKWY,GRAND PRAIRIE,TX,75050,NOT AVAILABLE,SINGLE USE,OPEN,8000.0,DALLAS,19049,USA,32.77350000000007,-96.98639999999995,711212,RACETRACKS,https://www.lonestarpark.com/facility-and-grounds/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-10796476.6619 3865278.3232999966)
19,21,43.0,GULFSTREAM PARK,901 SOUTH FEDERAL HIGHWAY,HALLANDALE BEACH,FL,33009,NOT AVAILABLE,SINGLE USE,OPEN,16627.0,BROWARD,12011,USA,25.978470000000073,-80.13798999999995,711212,RACETRACKS,http://www.gulfstreampark.com/,2015-01-30,2018-08-13,GULFSTREAM PARK RACING & CASINO,POINT (-8920920.24 2996414.6050999984)
20,22,44.0,WOODBINE RACETRACK,555 REXDALE BLVD,REXDALE,ON,M9W 5L2,NOT AVAILABLE,SINGLE USE,OPEN,12000.0,TORONTO,3520005,CAN,43.71252500000003,-79.60204199999998,711212,RACETRACKS,https://woodbine.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8861258.7815 5421062.008500002)
21,23,45.0,AQUEDUCT RACETRACK,110-00 RACKAWAY BOULEVARD,JAMAICA,NY,11417,NOT AVAILABLE,SINGLE USE,OPEN,17000.0,QUEENS,36081,USA,40.67230600000005,-73.83082899999994,711212,RACETRACKS,http://www.nyra.com/aqueduct/,2015-01-30,2018-08-13,THE BIG A,POINT (-8218810.289100001 4964126.369099997)
22,24,46.0,MONMOUTH PARK,175 OCEANPORT AVENUE,OCEANPORT,NJ,07757,NOT AVAILABLE,SINGLE USE,OPEN,8000.0,MONMOUTH,34025,USA,40.30990792000006,-74.01459753499995,711212,RACETRACKS,http://monmouthpark.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8239267.3089000005 4911079.983199999)
23,25,47.0,GULFSTREAM PARK WEST,21001 NW 27TH AVE,MIAMI GARDENS,FL,33056,NOT AVAILABLE,SINGLE USE,OPEN,15000.0,MIAMI-DADE,12086,USA,25.97015790200004,-80.24102255299994,711212,RACETRACKS,http://www.gulfstreampark.com/racing/news-details/2017/10/02/racing-shifts-to-gulfstream-west-wednesday-oct.-4,2015-01-30,2018-08-13,CALDER CASINO AND RACE COURSE,POINT (-8932389.7713 2995385.3411)
24,26,48.0,FAIR GROUNDS RACE COURSE,1751 GENTILLY BOULEVARD,NEW ORLEANS,LA,70119,NOT AVAILABLE,SINGLE USE,OPEN,8000.0,ORLEANS,22071,USA,29.98385784800007,-90.08100575299994,711212,RACETRACKS,http://www.fairgroundsracecourse.com,2015-01-30,2018-08-13,NEW ORLEANS FAIRGROUNDS,POINT (-10027771.6906 3501475.0891000032)
25,27,49.0,OAKLAWN PARK,2705 CENTRAL AVE,HOT SPRINGS,AR,71901,NOT AVAILABLE,SINGLE USE,OPEN,6500.0,GARLAND,05051,USA,34.485319781000044,-93.05699158599998,711212,RACETRACKS,http://oaklawn.com/,2015-01-30,2018-08-13,OAKLAWN JOCKEY CLUB,POINT (-10359056.9181 4094156.2729)
26,28,50.0,NEW ERA FIELD,1 BILLS DRIVE,ORCHARD PARK,NY,14127,NOT AVAILABLE,SINGLE USE,OPEN,73079.0,ERIE,39043,USA,42.77375433000003,-78.78695658099997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.buffalobills.com/stadium/index.html,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8770523.8877 5277598.1074)
27,29,404.0,HARD ROCK STADIUM,347 DON SHULA DR,MIAMI GARDENS,FL,33056,NOT AVAILABLE,MULTIUSE,OPEN,65326.0,MIAMI-DADE,12086,USA,25.957938632000037,-80.23885426199996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://hardrockstadium.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8932148.3983 2993872.3949000016)
28,30,382.0,GILLETTE STADIUM,1 PATRIOT PLACE,FOXBORO,MA,02035,1388,MULTIUSE,OPEN,68756.0,NORFOLK,25021,USA,42.09091592200008,-71.26435716199995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.gillettestadium.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-7933111.950999999 5174607.952100001)
29,31,53.0,FIRSTENERGY STADIUM,100 ALFRED LERNER WAY,CLEVELAND,OH,44114,NOT AVAILABLE,SINGLE USE,OPEN,67895.0,CUYAHOGA,39035,USA,41.506025313000066,-81.69957247599996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://firstenergystadium.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9094754.8061 5087269.2509)
30,32,54.0,M&T BANK STADIUM,1101 RUSSELL STREET,BALTIMORE,MD,21230,NOT AVAILABLE,SINGLE USE,OPEN,71008.0,BALTIMORE (CITY),24510,USA,39.27790000500005,-76.62270000499996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.baltimoreravens.com/stadium/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8529599.9478 4761556.8999999985)
31,33,55.0,PAUL BROWN STADIUM,1 PAUL BROWN STADIUM,CINCINNATI,OH,45202,3418,SINGLE USE,OPEN,65515.0,HAMILTON,20075,USA,39.09546000000006,-84.51604999999995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.bengals.com/stadium/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9408283.6499 4735354.6373)
32,34,383.0,HEINZ FIELD,100 ART ROONEY AVENUE,PITTSBURGH,PA,15212,NOT AVAILABLE,MULTIUSE,OPEN,65500.0,ALLEGHENY,42003,USA,40.44672998500005,-80.01574004199995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://heinzfield.com/stadium/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8907311.4369 4931073.815300003)
33,35,57.0,TIAA BANK FIELD,1 EVERBANK FIELD DRIVE,JACKSONVILLE,FL,32202,1918,SINGLE USE,OPEN,67164.0,DUVAL,48131,USA,30.323900000000037,-81.63739999999996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://tiaabankfield.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9087833.7977 3545252.483000003)
34,36,58.0,LUCAS OIL STADIUM,500 SOUTH CAPITOL AVENUE,INDIANAPOLIS,IN,46225,NOT AVAILABLE,SINGLE USE,OPEN,62421.0,MARION,41047,USA,39.760059487000035,-86.16353830299994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.lucasoilstadium.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9591681.2088 4831135.7946000025)
35,37,59.0,NRG STADIUM,1 NRG PARK,HOUSTON,TX,77054,NOT AVAILABLE,SINGLE USE,OPEN,71500.0,HARRIS,48201,USA,29.684929941000064,-95.41091997799998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.nrgpark.com/nrg-park-facilities-2/nrg-stadium/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-10621095.0281 3463114.4758)
36,38,60.0,NISSAN STADIUM,1 TITANS WAY,NASHVILLE,TN,37213,NOT AVAILABLE,SINGLE USE,OPEN,69143.0,DAVIDSON,47037,USA,36.166450000000054,-86.77127999999999,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.titansonline.com/stadium/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9659334.7051 4323548.872400001)
37,39,370.0,OAKLAND ALAMEDA COLISEUM,7000 COLISEUM WAY,OAKLAND,CA,94621,NOT AVAILABLE,MULTIUSE,OPEN,63026.0,ALAMEDA,06001,USA,37.75161000000003,-122.20061999999996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.coliseum.com/venues/detail/oakland-alameda-county-coliseum,2015-01-30,2018-08-13,OAKLAND COLISEUM,POINT (-13603310.793 4544395.817599997)
38,40,62.0,ARROWHEAD STADIUM,1 ARROWHEAD DRIVE,KANSAS CITY,MO,64129,NOT AVAILABLE,SINGLE USE,OPEN,76416.0,JACKSON,48239,USA,39.04891429000003,-94.48401095999998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.chiefs.com/stadium/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-10517911.9882 4728680.548799999)
39,41,63.0,BRONCOS STADIUM AT MILE HIGH,1701 BRYANT STREET,DENVER,CO,80204,1701,SINGLE USE,OPEN,76125.0,DENVER,08031,USA,39.74391241100005,-105.02014914599994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.sportsauthorityfieldatmilehigh.com/,2015-01-30,2018-08-13,MILE HIGH STADIUM,POINT (-11690789.526 4828797.8156)
40,42,399.0,SDCCU STADIUM,9449 FRIARS ROAD,SAN DIEGO,CA,92108,NOT AVAILABLE,SINGLE USE,OPEN,70561.0,SAN DIEGO,06073,USA,32.78313671800004,-117.11956961199996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.sandiego.gov/stadium,2015-01-30,2018-08-13,JACK MURPHY STADIUM,POINT (-13037690.8511 3866554.2400999963)
41,43,65.0,FEDEX FIELD,1600 FEDEX WAY,LANDOVER,MD,20785,NOT AVAILABLE,SINGLE USE,OPEN,82000.0,PRINCE GEORGE'S,24033,USA,38.907668140000055,-76.86446218499998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.redskins.com/fedexfield/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8556512.7905 4708454.442199998)
42,44,66.0,AT&T STADIUM,1 LEGENDS WAY,ARLINGTON,TX,76011,NOT AVAILABLE,SINGLE USE,OPEN,80000.0,TARRANT,48439,USA,32.74779903000007,-97.09302826599998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://attstadium.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-10808346.4661 3861876.1493000016)
43,45,67.0,METLIFE STADIUM,1 METLIFE STADIUM DRIVE,EAST RUTHERFORD,NJ,07073,NOT AVAILABLE,MULTIUSE,OPEN,82500.0,BERGEN,34003,USA,40.81353861600007,-74.07439241099996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.metlifestadium.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8245923.643999999 4984877.433399998)
44,46,373.0,LINCOLN FINANCIAL FIELD,1020 PATTISON AVENUE,PHILADELPHIA,PA,19148,NOT AVAILABLE,MULTIUSE,OPEN,68532.0,PHILADELPHIA,42101,USA,39.900780000000054,-75.16742999999997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.lincolnfinancialfield.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-8367600.0318 4851534.357699998)
45,47,69.0,FORD FIELD,2000 BRUSH STREET,DETROIT,MI,48226,2229,SINGLE USE,OPEN,65000.0,WAYNE,49055,USA,42.340049976000046,-83.04563996799999,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.detroitlions.com/ford-field/index.html,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9244598.3538 5212054.1723000035)
46,48,70.0,LAMBEAU FIELD,1265 LOMBARDI AVENUE,GREEN BAY,WI,54304,NOT AVAILABLE,SINGLE USE,OPEN,81441.0,BROWN,27015,USA,44.50128013500006,-88.06221805099995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.packers.com/lambeau-field/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9803041.2716 5543347.001199998)
47,49,71.0,SOLDIER FIELD,1410 SOUTH MUSEUM CAMPUS DRIVE,CHICAGO,IL,60605,NOT AVAILABLE,SINGLE USE,OPEN,61500.0,COOK,27031,USA,41.86235729900005,-87.61669859199998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.soldierfield.net/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9753446.2722 5140383.482299998)
48,50,73.0,BANK OF AMERICA STADIUM,800 SOUTH MINT STREET,CHARLOTTE,NC,28202,NOT AVAILABLE,SINGLE USE,OPEN,75525.0,MECKLENBURG,37119,USA,35.225810000000024,-80.85281999999995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.panthers.com/stadium/index.html,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9000494.7516 4194610.320500001)
49,52,392.0,MERCEDES-BENZ SUPERDOME,1500 SUGAR BOWL DRIVE,NEW ORLEANS,LA,70112,1255,SINGLE USE,OPEN,76468.0,ORLEANS,22071,USA,29.95105291300007,-90.08131568199997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.superdome.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-10027806.1917 3497259.702200003)
50,53,400.0,RAYMOND JAMES STADIUM,4201 NORTH DALE MABRY HIGHWAY,TAMPA,FL,33607,6103,MULTIUSE,OPEN,65890.0,HILLSBOROUGH,12057,USA,27.975930000000062,-82.50329999999997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://raymondjamesstadium.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-9184225.3448 3245939.4521000013)
51,54,365.0,CENTURYLINK FIELD,800 OCCIDENTAL AVENUE SOUTH,SEATTLE,WA,98134,1200,MULTIUSE,OPEN,72000.0,KING,53033,USA,47.595170488000065,-122.33156186199994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.centurylinkfield.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-13617887.1744 6039767.949199997)
52,55,80.0,STATE FARM STADIUM,1 CARDINALS DRIVE,GLENDALE,AZ,85305,NOT AVAILABLE,SINGLE USE,OPEN,63400.0,MARICOPA,04013,USA,33.52762882800005,-112.26273991899996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.universityofphoenixstadium.com/index.php/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-12497031.0428 3965549.113499999)
53,56,81.0,CENTENNIAL BANK STADIUM,2180 AGGIE ROAD,JONESBORO,AR,72401,NOT AVAILABLE,SINGLE USE,OPEN,30406.0,CRAIGHEAD,05031,USA,35.84893000000005,-90.66719999999998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.astateredwolves.com/ViewArticle.dbml?ATCLID=207063,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-10093026.5357 4279854.233900003)
54,57,82.0,ARIZONA STADIUM,545 NORTH NATIONAL CHAMPION DRIVE,TUCSON,AZ,85721,NOT AVAILABLE,SINGLE USE,OPEN,56037.0,PIMA,04019,USA,32.22888536900007,-110.94879707199999,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.arizonawildcats.com/ViewArticle.dbml?ATCLID=208232687,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-12350763.5942 3793393.0305999964)
55,58,83.0,SUN DEVIL STADIUM,500 EAST VETERANS WAY,TEMPE,AZ,85281,NOT AVAILABLE,SINGLE USE,OPEN,53599.0,MARICOPA,04013,USA,33.42641000000003,-111.93252999899994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://thesundevils.com/facilities/?id=12,2015-01-30,2018-08-13,SUN DEVIL STADIUM/FRANK KUSH FIELD,POINT (-12460272.2427 3952040.4996000007)
56,59,85.0,CALIFORNIA MEMORIAL STADIUM,2227 PIEDMONT AVENUE,BERKELEY,CA,94720,NOT AVAILABLE,SINGLE USE,OPEN,63000.0,ALAMEDA,06001,USA,37.87100000100003,-122.25070999999997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.californiamemorialstadium.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-13608886.7863 4561218.433200002)
57,60,86.0,LOS ANGELES MEMORIAL COLISEUM,3911 SOUTH FIGUEROA STREET,LOS ANGELES,CA,90037,NOT AVAILABLE,MULTIUSE,OPEN,92348.0,LOS ANGELES,06037,USA,34.01406090800003,-118.28795851199999,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://www.lacoliseum.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-13167755.3085 4030690.218800001)
58,61,87.0,ROSE BOWL,1001 ROSE BOWL DRIVE,PASADENA,CA,91103,2813,SINGLE USE,OPEN,90888.0,LOS ANGELES,06037,USA,34.161290000000065,-118.16758000099998,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.rosebowlstadium.com/,2015-01-30,2018-08-13,NOT AVAILABLE,POINT (-13154354.833999999 4050479.9482999966)
59,62,88.0,STANFORD STADIUM,625 NELSON ROAD,STANFORD,CA,94305,NOT AVAILABLE,SINGLE USE,OPEN,50424.0,SANTA CLARA,06085,USA,37.43450000000007,-122.16110999999995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.gostanford.com/ViewArticle.dbml?ATCLID=208446909,2015-01-30,2018-08-14,NOT AVAILABLE,POINT (-13598912.5599 4499844.777599998)
60,63,89.0,BULLDOG STADIUM,1600 EAST BULLDOG LANE,FRESNO,CA,93740,NOT AVAILABLE,SINGLE USE,OPEN,41031.0,FRESNO,06019,USA,36.81442425100005,-119.75808130399997,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://gobulldogs.com/facilities/?id=1,2015-01-30,2018-08-14,NOT AVAILABLE,POINT (-13331408.629099999 4413271.391199999)
61,64,90.0,SPARTAN STADIUM (CALIFORNIA),1350 SOUTH 7TH STREET,SAN JOSE,CA,95112,NOT AVAILABLE,SINGLE USE,OPEN,30456.0,SANTA CLARA,06085,USA,37.319720000000075,-121.86828999999994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.sjsuspartans.com/facilities/sjsu-facilities.html#stadium,2015-01-30,2018-08-14,NOT AVAILABLE,POINT (-13566315.9866 4483765.824699998)
62,65,91.0,FOLSOM FIELD,2400 COLORADO AVE,BOULDER,CO,80302,NOT AVAILABLE,SINGLE USE,OPEN,50183.0,BOULDER,08013,USA,40.00947000000008,-105.26689999999996,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",https://cubuffs.com/facilities/?id=1,2015-01-30,2018-08-14,NOT AVAILABLE,POINT (-11718257.705400001 4867318.5295)
63,66,92.0,FALCON STADIUM,2169 FIELD HOUSE DRIVE,USAFA,CO,80840,NOT AVAILABLE,SINGLE USE,OPEN,46692.0,EL PASO,48141,USA,38.99706000000003,-104.84347999999994,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.goairforcefalcons.com/facilities/falcon-stadium.html,2015-01-30,2018-08-14,NOT AVAILABLE,POINT (-11671122.8066 4721250.4516)
64,68,94.0,RENTSCHLER FIELD,615 SILVER LANE,HARTFORD,CT,06118,1231,SINGLE USE,OPEN,38066.0,HARTFORD,09003,USA,41.75962000100003,-72.61882999999995,711310,"PROMOTERS OF PERFORMING ARTS, SPORTS, AND SIMILAR EVENTS WITH FACILITIES",http://www.rentschlerfield.com/stadium/stadium-info,2015-01-30,2018-08-14,NOT AVAILABLE,POINT (-8083891.1776 5125039.421099998)
